timestamp,spot_sek_kwh
2025-12-31T23:00:00+00:00,0.3951
2025-12-31T23:15:00+00:00,0.3951
2025-12-31T23:30:00+00:00,0.3951
2025-12-31T23:45:00+00:00,0.3951
2026-01-01T00:00:00+00:00,0.2373
2026-01-01T00:15:00+00:00,0.2373
2026-01-01T00:30:00+00:00,0.2373
2026-01-01T00:45:00+00:00,0.2373
2026-01-01T01:00:00+00:00,0.0789
2026-01-01T01:15:00+00:00,0.0789
2026-01-01T01:30:00+00:00,0.0789
2026-01-01T01:45:00+00:00,0.0789
2026-01-01T02:00:00+00:00,0.0469
2026-01-01T02:15:00+00:00,0.0469
2026-01-01T02:30:00+00:00,0.0469
2026-01-01T02:45:00+00:00,0.0469
2026-01-01T03:00:00+00:00,0.038
2026-01-01T03:15:00+00:00,0.038
2026-01-01T03:30:00+00:00,0.038
2026-01-01T03:45:00+00:00,0.038
2026-01-01T04:00:00+00:00,0.0327
2026-01-01T04:15:00+00:00,0.0327
2026-01-01T04:30:00+00:00,0.0327
2026-01-01T04:45:00+00:00,0.0327
2026-01-01T05:00:00+00:00,0.0444
2026-01-01T05:15:00+00:00,0.0444
2026-01-01T05:30:00+00:00,0.0444
2026-01-01T05:45:00+00:00,0.0444
2026-01-01T06:00:00+00:00,0.0467
2026-01-01T06:15:00+00:00,0.0467
2026-01-01T06:30:00+00:00,0.0467
2026-01-01T06:45:00+00:00,0.0467
2026-01-01T07:00:00+00:00,0.0507
2026-01-01T07:15:00+00:00,0.0507
2026-01-01T07:30:00+00:00,0.0507
2026-01-01T07:45:00+00:00,0.0507
2026-01-01T08:00:00+00:00,0.0601
2026-01-01T08:15:00+00:00,0.0601
2026-01-01T08:30:00+00:00,0.0601
2026-01-01T08:45:00+00:00,0.0601
2026-01-01T09:00:00+00:00,0.0624
2026-01-01T09:15:00+00:00,0.0624
2026-01-01T09:30:00+00:00,0.0624
2026-01-01T09:45:00+00:00,0.0624
2026-01-01T10:00:00+00:00,0.0751
2026-01-01T10:15:00+00:00,0.0751
2026-01-01T10:30:00+00:00,0.0751
2026-01-01T10:45:00+00:00,0.0751
2026-01-01T11:00:00+00:00,0.0751
2026-01-01T11:15:00+00:00,0.0751
2026-01-01T11:30:00+00:00,0.0751
2026-01-01T11:45:00+00:00,0.0751
2026-01-01T12:00:00+00:00,0.0907
